Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1Y Return","5Y CAGR"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","49984.145536","1064.3","23.606043900388737","140.2754261203296","33.955756135223126"
Central Bank of India Ltd,CENTRALBK,"Public Banks","49915.401734","62.05","29.732963464161745","120.81850533807827","14.962622240686674"
Tata Communications Ltd,TATACOMM,"Telecom Services","49505.925","1698.7","27.565160137196884","39.9489207447685","27.765009611293333"
Astral Ltd,ASTRAL,"Building Products - Pipes","49169.48772736","1902.45","107.686131684976","24.559895897272206","30.671729570740915"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","49066.53770135","2560.2","29.956614304331108","22.158602920125947","20.451442749454873"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","48941.8051504","3131.2","55.66566025227192","17.825023518344302","23.752497995010913"
Indian Renewable Energy Development Agency Ltd,IREDA,"Specialized Finance","48863.56235508","195.05","56.51449463935603","225.08333333333337",
One 97 Communications Ltd,PAYTM,"Business Support Services","48342.317536040006","487.2","-27.221306118610286","-10.711994868505451",
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","48130.02811169","1285.15","25.271208854468792","52.03478055128359","23.1236093070875"
United Breweries Ltd,UBL,"Alcoholic Beverages","47807.094990690006","1846.55","157.27052763566732","16.17540658718424","4.99521436289998"
ACC Ltd,ACC,"Cement","47778.71332509","2499.45","53.982976855039595","35.74745417515274","12.04277274416896"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","47693.49602829","5550.45","88.64303031055309","65.2755858618944","64.67803170540236"
Jindal Stainless Ltd,JSL,"Iron & Steel","47495.70703584","596.55","22.46190921534175","124.68926553672314","85.99548896617915"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","47444.87135575","2452.4","44.869369543928464","7.662927760827104","24.468716258149037"
Tata Elxsi Ltd,TATAELXSI,"Software Services","47362.1667666","7641","62.71639445774519","15.979205403559368","53.75186111655492"
GMR Infrastructure Ltd,GMRINFRA,"Construction & Engineering","47291.631229625","85.2","-263.81586092616703","129.03225806451613","41.44272637093573"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","46607.220041","163.2","2419.897198390333","16.65475339528233",
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","46249.8815241","446.9","5.298665823930323","98.31373419125805","21.105516564402137"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","46206.17055","2205.7","41.291270609367025","186.90166493236214",
Adani Wilmar Ltd,AWL,"FMCG - Foods","46197.076014725","350.3","79.36005637106695","-16.793349168646078",
Tata Technologies Ltd,TATATECH,"IT Services & Consulting","45086.0004242","1098.5","72.24857448913532","-16.336633663366335",
PB Fintech Ltd,POLICYBZR,"Online Services","44853.01209424","981.25","-92.05905359845656","133.1313851271086",
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","44480.3863801","180.35","9.2749206863757","30.21660649819494","17.50708510979708"
JSW Infrastructure Ltd,JSWINFRA,"Ports","43936.4154935","224.5","59.38717745090092","42.720915448188165",
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","43304.674121059994","2478.9","32.43868710237681","81.3453308460441","31.77371940340028"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","43108.4461692","174.7","26.55687427642076","101.73210161662819","7.586568803389038"
Dalmia Bharat Ltd,DALBHARAT,"Cement","42757.10845942","2259.1","41.31121590282125","25.321055113305402",
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","42574.181487","629","29.815522919351256","0.583673143039894","16.768429780614635"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","42047.30936192","1577.1","110.36328870028085","100.26666666666665",
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","41721.65532894","1478.65","65.00117678144773","24.922907954209435","67.1432231068027"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","41619.67698234","36979.6","72.85720259490587","-7.6722955217583015","8.995603827020894"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","40470.38775","3552.55","30.456113176451108","33.98770460888588",
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","40365.00236808","269.45","12.136857186522436","27.731689973927473","4.034620928857069"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","40360.17285657","530.05","11.305370548058825","-23.88713383113154","0.3874457646034779"
New India Assurance Company Ltd,NIACL,"Insurance","40087.6","242.1","38.251526717557276","120.19099590723054","6.6335961047771175"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","40016.11796625","590.85","26.182047636222638","25.007933989209782","35.93452289388126"
IRB Infrastructure Developers Ltd,IRB,"Construction & Engineering","39917.79","66.75","55.441375","137.4599786552828","35.711500888373095"
